, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Where Is Love?,Doin It!!!!,The Equatics,1972,276066,45,0.0955,0.418,0.527,0.47,0.595,-9.589,0.0416,130.329,4,2021-05-03
1,Todo o mundo e ninguém,A lenda do Quarteto 1111,Quarteto 1111,1993-05-25,293400,26,0.159,0.541,0.276,0.0101,0.218,-18.652,0.0373,132.533,4,2021-05-03
2,鉄鎖,Crumbling,Mid-Air Thief,2018-12-04,307700,19,0.583,0.349,0.774,0.114,0.422,-8.08,0.14,127.9,4,2021-05-03
3,The Positive and the Negative,Bamboo,Minoru Muraoka,1970,564773,22,0.328,0.477,0.487,0.719,0.0663,-11.238,0.137,97.435,4,2021-05-03
4,Cathedral,Shapes of Rhythm/Woman Is Sweeter,Galt MacDermot,2000-01-01,134613,25,0.000461,0.578,0.42,0.46,0.138,-13.552,0.0361,160.621,4,2021-05-03
5,Hula Rock,The Super Sounds Of Bosworth,Various Artists,2007-11-05,141640,25,0.766,0.593,0.287,0.807,0.104,-21.807,0.274,81.536,4,2021-05-03
6,Accidentals,Work And Non Work,Broadcast,1997-06-09,208000,38,0.895,0.155,0.462,0.917,0.0962,-12.827,0.0451,82.246,4,2021-05-03
7,Arrival,Israeli Salad,The Alchemist,2015-05-26,94967,42,0.00417,0.0,0.802,0.878,0.603,-7.977,0.0,0.0,0,2021-05-03
8,Tears Of Clown,Wind,Gigi Masin,1986,235400,38,0.916,0.545,0.487,0.811,0.0966,-11.874,0.034,91.043,4,2021-05-03
9,Herewego,Life,Jinsang,2016-12-23,136673,50,0.16,0.562,0.589,0.969,0.241,-9.447,0.0689,76.584,4,2021-05-03
10,Crazy Blue,Sixty Nine,A.R. Kane,1988-07-01,206773,32,0.0136,0.535,0.42,0.501,0.0934,-15.703,0.0292,145.195,4,2021-05-03
11,Chanson,Crawl Space,Art Farmer,1977,516106,41,0.937,0.652,0.371,0.876,0.106,-13.321,0.0439,79.205,4,2021-05-03
12,I Don't Care,Brotherman: OST by The Final Solution,Final Solution,2008-08-12,257306,35,0.243,0.467,0.735,0.0004,0.0847,-6.873,0.0409,94.294,4,2021-05-03
13,Lifeline,Lifeline,Roy Ayers Ubiquity,1977,173346,39,0.189,0.513,0.747,0.0692,0.0731,-10.356,0.0362,158.388,4,2021-05-03
14,Yum Yum Cult,Fucked up Friends,TOBACCO,2008-10-14,65746,19,0.437,0.639,0.69,0.0663,0.313,-6.903,0.029,127.288,4,2021-05-03
15,Hawaiian Caravan - Original Mix,Selected Works 1979 to 1983,Ryo Kawasaki,2016-04-11,346017,25,0.238,0.652,0.531,0.0668,0.102,-12.018,0.0644,86.872,4,2021-05-03
16,Jazz 104,Rivers Of The Red Planet,Max Graef,2014-04-07,67943,33,0.693,0.544,0.88,0.229,0.208,-9.98,0.122,116.204,3,2021-05-03
17,Riot!,Some Rap Songs,Earl Sweatshirt,2018-11-30,66133,66,0.834,0.489,0.624,0.347,0.325,-1.916,0.0344,167.108,4,2021-05-03
18,Pisces Pace,Detroit City Grooves,Dave Hamilton,2013-01-02,144996,39,0.67,0.847,0.81,0.311,0.125,-3.588,0.0522,123.615,4,2021-05-03
19,Like The Seasons,Chinoiseries Pt.3,Onra,2017-03-10,82441,47,0.534,0.444,0.565,0.325,0.167,-10.263,0.102,179.588,5,2021-05-03
20,Haliç'te Gün Batışı,Anadolu Pop,Moğollar,1995-06-15,248773,21,0.732,0.521,0.385,0.902,0.207,-14.042,0.064,101.579,4,2021-05-03
21,Idol Eyes,Idol Eyes,Common Saints,2020-06-26,288426,47,0.175,0.502,0.631,0.0632,0.099,-7.462,0.0292,173.859,4,2021-05-03
22,Way Star,In Motion,Rubba,1978-05-08,231250,25,0.527,0.461,0.223,0.827,0.118,-17.783,0.0321,127.417,4,2021-05-03
23,Peter Pan,Buck,Brainstory,2019-11-15,180393,39,0.608,0.506,0.434,3.38e-06,0.424,-9.4,0.0429,76.731,4,2021-05-03
24,How Great Thou Art,Forge Your Own Chains: Heavy Psychedelic Ballads And Dirges 1968-1974,Top Drawer,2009-11-17,208479,33,0.693,0.505,0.561,0.0247,0.553,-7.524,0.037,150.333,4,2021-05-03
25,Dub Fire,New Chapter Of Dub,Aswad,1982-01-01,270066,45,0.113,0.701,0.33,0.15,0.267,-13.127,0.0542,129.233,4,2021-05-03
26,(Secret Track),Helium,HOMESHAKE,2019-02-15,217053,18,0.546,0.695,0.357,0.905,0.0947,-13.04,0.165,180.008,4,2021-05-03
27,Phua Kao,II,Khun Narin,2016-03-25,232226,26,0.00231,0.406,0.574,0.895,0.253,-8.02,0.0297,140.242,4,2021-05-03
28,Can of Worms,The Glow,Gold Celeste,2015-09-11,411008,40,0.293,0.403,0.576,0.322,0.143,-10.166,0.0379,74.983,4,2021-05-03
29,Det du tänker idag är du imorgon,Ta det lugnt,Dungen,2004-05-01,238653,36,0.0413,0.311,0.76,0.0386,0.0971,-8.127,0.0347,179.799,3,2021-05-03
